Retail Branding,Marketing Name,Device,Model,Supported ROMs
KTCtv,WYBOR,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
KUNFT,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Kenwood,Kenwood,lavender,KENWOOD DVB 4K TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Kenwood,Kenwood,lavender,KENWOOD ISDB 4K TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Kiowa,KIOWA,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Kobo,Arc,zeus,Arc,"Ancient OS, CrDroid"
Kogan,RF9220,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Kolin,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
LGE,,x3,LG-P880,CrDroid
LGE,Nexus 4,mako,Nexus 4,"AOSiP, Carbon ROM"
LGE,Nexus 5,hammerhead,Nexus 5,"AOSiP, CrDroid"
LGE,Nexus 5X,bullhead,Nexus 5X,AOSP Extended
LGE,Optimus  EX,x2,LG-SU880,"AOSP Extended, Atomic Os, Carbon ROM, CrDroid, Derpfest"
LGE,Optimus 4X HD,x3,LG-P880,CrDroid
LGE,Optimus 4X HD,x3,LG-P880g,CrDroid
LGE,Optimus EX,x2,IS11LG,"AOSP Extended, Atomic Os, Carbon ROM, CrDroid, Derpfest"
LIBERTON,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Lenovo,A706,armani,Lenovo A706,Citrus CAF
Lenovo,Lenovo Z5 Pro,heart,Lenovo L78032,CrDroid
Lenovo,P2,kuntao,Lenovo P2c72,AOSP Extended
Lenovo,TBD,kunlun2,Lenovo L38111,Corvus ROM
Lenovo,Z5s,jd2019,Lenovo L78071,Dot OS
Lenovo,Z6 Pro,zippo,Lenovo L78051,"Bootleggers ROM, CrDroid"
Lenovo,Z6Pro,zippo,Lenovo L78051,"Bootleggers ROM, CrDroid"
MAG,MAG,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
MASTERTECH,MASTERTECH,lavender,MASTERTECH GOOGLE TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Marcel,4K Smart TV,pioneer,4K PA Smart TV,CrDroid
Master-G,4K Smart TV,pioneer,4K SA Smart TV,CrDroid
